""
"1","astar"
"1","Base","C0","C1","C2","C3","C4","C5","GDC","Ideal"
"numAccesosExaminados","131143","131143","131143","131143","131143","131143","131143","131143","131143"
"porcentajeReconocido.0","79.3241","70.5756","70.5756","73.2681","70.7907","70.5756","81.6597","0","79.3241"
"numEntradasTotales","131127","173685","174094","174751","171631","173685","179885","188069","174885"
"numEntradasActuales","130991","173380","173789","174446","171327","173380","178047","177218","174472"
"numReemplazos","136","305","305","305","304","305","1838","10851","413"
"porcentajePrebuscado","0","88.8689","91.1979","92.1408","84.222","88.8689","96.6595","92.6522","91.8947"
"porcentajeDesperdicio","0","24.503","24.6803","24.9635","23.5995","24.503","27.1051","30.2772","25.021"
"porcentajeExito","0.0122","85.2581","88.315","89.5275","79.3508","85.2581","95.418","89.4626","89.1912"
"porcentajeAciertosPorPrebusqueda","0","99.9857","99.9862","99.9864","99.9846","99.9857","99.9912","99.9898","99.988"
"porcentajePrebusquedasUtiles","NaN","72.428","72.9376","72.9072","71.9794","72.428","71.9582","67.3217","72.7721"
"1",""
"1","bzip2"
"1","Base","C0","C1","C2","C3","C4","C5","GDC","Ideal"
"numAccesosExaminados","298556","298556","298556","298556","298556","298556","298556","298556","298556"
"porcentajeReconocido.0","88.6397","63.5174","63.5174","71.6083","63.4769","63.5174","74.3331","0","88.6397"
"numEntradasTotales","298488","308923","309128","310738","308494","308923","314887","307069","303090"
"numEntradasActuales","248569","252177","252177","252576","252177","252177","253471","250274","250191"
"numReemplazos","49919","56746","56951","58162","56317","56746","61416","56795","52899"
"porcentajePrebuscado","0","68.2503","68.3804","70.7149","66.6746","68.2503","83.3413","73.7046","88.4569"
"porcentajeDesperdicio","0","3.3779","3.4419","3.9422","3.2435","3.3779","5.2079","2.7945","1.5184"
"porcentajeExito","0.0228","67.1479","67.2607","69.52","65.5653","67.1479","82.4301","72.9548","88.2816"
"porcentajeAciertosPorPrebusqueda","0","99.9726","99.9726","99.9735","99.9719","99.9726","99.9781","99.972","99.9769"
"porcentajePrebusquedasUtiles","NaN","95.0508","94.9665","94.4252","95.1353","95.0508","93.7511","96.2085","98.2835"
"1",""
"1","Firefox"
"1","Base","C0","C1","C2","C3","C4","C5","GDC","Ideal"
"numAccesosExaminados","3500000","3500000","3500000","3500000","3500000","3500000","3500000","3500000","3500000"
"porcentajeReconocido.0","0","50.8073","50.8073","57.9564","51.2415","50.8073","69.8176","0","72.9268"
"numEntradasTotales","3417589","3546089","3579526","3705279","3482062","3546236","5027612","6523946","12550299"
"numEntradasActuales","262144","262144","262144","262144","262144","262144","262144","262144","262144"
"numReemplazos","3155445","3283945","3317382","3443135","3219918","3284092","4765468","6261802","12288155"
"porcentajePrebuscado","0","46.7542","48.3635","55.7557","39.5642","46.7584","77.1632","81.9509","89.3937"
"porcentajeDesperdicio","0","3.48","4.3373","7.4896","1.7749","3.4796","31.2787","46.8388","72.3966"
"porcentajeExito","2.3546","46.053","47.1903","53.1607","39.874","46.055","67.1959","66.3568","61.9679"
